Reference, Value, Footprint, Datasheet
"Q1","IRF540N","TO_SOT_Packages_SMD:SOT-23_Handsoldering",""
"R5","10kohm","Resistors_SMD:R_0805_HandSoldering",""
"D2","GS-TVS","athir:MSMP15A",""
"J9","LOAD0","athir:FASTON63951-1",""
"R9","10kohm","Resistors_SMD:R_0805_HandSoldering",""
"J5","Screw_Terminal_01x01","athir:FASTON63951-1",""
"J6","Screw_Terminal_01x01","athir:FASTON63951-1",""
"J7","Screw_Terminal_01x01","athir:FASTON63951-1",""
"J8","Screw_Terminal_01x01","athir:FASTON63951-1",""
"D3","DS-TVS","athir:MSMP15A",""
"C2","10uF","Capacitors_SMD:C_0805_HandSoldering",""
"Q2","TP0610T","TO_SOT_Packages_SMD:TO-252-2",""
"U1","MCP23017","Housings_SOIC:SOIC-28W_7.5x17.9mm_Pitch1.27mm",""
"R3","10kohm","Resistors_SMD:R_0805_HandSoldering",""
"SW1","SW_DIP_x03","Buttons_Switches_ThroughHole:SW_DIP_x3_W7.62mm_Slide",""
"R2","10kohm","Resistors_SMD:R_0805_HandSoldering",""
"R4","10kohm","Resistors_SMD:R_0805_HandSoldering",""
"R6","10kohm","Resistors_SMD:R_0805_HandSoldering",""
"R7","10kohm","Resistors_SMD:R_0805_HandSoldering",""
"R8","10kohm","Resistors_SMD:R_0805_HandSoldering",""
"C1","10uF","Capacitors_SMD:C_0805_HandSoldering",""
"D1","LED","LEDs:LED_D3.0mm",""
"R1","R_LED","Resistors_SMD:R_0805_HandSoldering",""
"Q3","IRF540N","TO_SOT_Packages_SMD:SOT-23_Handsoldering",""
"R10","10kohm","Resistors_SMD:R_0805_HandSoldering",""
"D4","GS-TVS","athir:MSMP15A",""
"J12","LOAD1","athir:FASTON63951-1",""
"R11","10kohm","Resistors_SMD:R_0805_HandSoldering",""
"D5","DS-TVS","athir:MSMP15A",""
"C3","10uF","Capacitors_SMD:C_0805_HandSoldering",""
"Q4","TP0610T","TO_SOT_Packages_SMD:TO-252-2",""
"Q5","IRF540N","TO_SOT_Packages_SMD:SOT-23_Handsoldering",""
"R12","10kohm","Resistors_SMD:R_0805_HandSoldering",""
"D6","GS-TVS","athir:MSMP15A",""
"J13","LOAD2","athir:FASTON63951-1",""
"R13","10kohm","Resistors_SMD:R_0805_HandSoldering",""
"D7","DS-TVS","athir:MSMP15A",""
"C4","10uF","Capacitors_SMD:C_0805_HandSoldering",""
"Q6","TP0610T","TO_SOT_Packages_SMD:TO-252-2",""
"Q7","IRF540N","TO_SOT_Packages_SMD:SOT-23_Handsoldering",""
"R14","10kohm","Resistors_SMD:R_0805_HandSoldering",""
"D8","GS-TVS","athir:MSMP15A",""
"J14","LOAD3","athir:FASTON63951-1",""
"R15","10kohm","Resistors_SMD:R_0805_HandSoldering",""
"D9","DS-TVS","athir:MSMP15A",""
"C5","10uF","Capacitors_SMD:C_0805_HandSoldering",""
"Q8","TP0610T","TO_SOT_Packages_SMD:TO-252-2",""
"Q9","IRF540N","TO_SOT_Packages_SMD:SOT-23_Handsoldering",""
"R16","10kohm","Resistors_SMD:R_0805_HandSoldering",""
"D10","GS-TVS","athir:MSMP15A",""
"J15","LOAD4","athir:FASTON63951-1",""
"R17","10kohm","Resistors_SMD:R_0805_HandSoldering",""
"D11","DS-TVS","athir:MSMP15A",""
"C6","10uF","Capacitors_SMD:C_0805_HandSoldering",""
"Q10","TP0610T","TO_SOT_Packages_SMD:TO-252-2",""
"J10","CTRL_IN1","Connect:RJ45_8",""
"J11","CTRL0","Connect:RJ45_8",""
"J17","EXT_OUT","Pin_Headers:Pin_Header_Straight_2x03_Pitch2.54mm",""
"J16","EXT_IN","Pin_Headers:Pin_Header_Straight_2x03_Pitch2.54mm",""
"J1","Screw_Terminal_01x01","athir:FASTON63951-1",""
"JP2","EXT/SW","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"JP3","EXT/SW","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"JP4","EXT/SW","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"JP5","EXT/SW","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"JP6","EXT/SW","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"R18","200ohm","Resistors_SMD:R_0805_HandSoldering",""
"R19","200ohm","Resistors_SMD:R_0805_HandSoldering",""
"R20","200ohm","Resistors_SMD:R_0805_HandSoldering",""
"R21","200ohm","Resistors_SMD:R_0805_HandSoldering",""
"R22","200ohm","Resistors_SMD:R_0805_HandSoldering",""
"C7","10uF","Capacitors_SMD:C_0805_HandSoldering",""
